"term","strength","rank"
"protected area",25,120
"systems theory",25,120
"tobit model",25,120
"water management",25,120
"wound care",25,120
"childrenâ€™s books",25,120
"critical curriculum",25,120
"education supply",25,120
"finnish adults",25,120
"protected areas",25,120
"basic educations",26,141
"blood donor",26,141
"blood donors",26,141
"central asia",26,141
"cognitive reserve",26,141
"computer application",26,141
"dietary patterns",26,141
"induced abortion",26,141
"knowledge representation",26,141
"medical practice",26,141
"medication adherence",26,141
"motor learning",26,141
"postgraduate student",26,141
"reform process",26,141
"sexual abuse",26,141
"social norm",26,141
"system dynamics",26,141
"childrenâ€™s mathematical",26,141
"kidney transplant",26,141
"learning indicators",26,141
"statistical tables",26,141
"supply chain",26,141
"women groups",26,141
"democratic education",27,164
"economic capital",27,164
"hepatitis c",27,164
"infection control",27,164
"multicenter study",27,164
"multiple sclerosis",27,164
"parental mediation",27,164
"pharmaceutical care",27,164
"philosophy of education",27,164
"physical therapy",27,164
"political participation",27,164
"polymerase chain reaction",27,164
"portuguese language teaching",27,164
"public education funding",27,164
"struggling readers",27,164
"substantive equality",27,164
"systemic disease",27,164
"assistive robot",27,164
"blind people",27,164
"clustering algorithm",27,164
"cross-cultural study",27,164
"literary education",27,164
"pending subject",27,164
"peninsular malaysia",27,164
"science fiction",27,164
"chronic pain",28,189
"cultural-historical theory",28,189
"disease management",28,189
"education industry",28,189
"environmental impact",28,189
"ethical education",28,189
"intensive care",28,189
"life course",28,189
"non-state providers",28,189
"rating scales",28,189
"social theory",28,189
"african youth",28,189
"argumentative writing",28,189
"artisanal fishing",28,189
"education environments",28,189
"finnish classroom",28,189
"health institutions",28,189
"learning crisis",28,189
"pupilsâ€™ school",28,189
"south african youth",28,189
"3d printing",29,209
"challenging tasks",29,209
"diabetic retinopathy",29,209
"differential item functioning",29,209
"educational values",29,209
"evaluation instruments",29,209
"literary reading",29,209
"locus of control",29,209
"probit model",29,209
"production systems",29,209
"project work",29,209
"public finance",29,209
"queer theory",29,209
"scientific reasoning",29,209
"sleep disturbances",29,209
"social reproduction",29,209
"spatial regression",29,209
"spinal cord injury",29,209
"veterinary medicine",29,209
"elementary school textbooks",29,209
"haptic feedback",29,209
"management processes",29,209
"portuguese teachers",29,209
"retrospective observational",29,209
"retrospective observational study",29,209
"smallholder farmers",29,209
"systems perspective",29,209
"teach probability",29,209
"teachersâ€™ approaches",29,209
"writing application",29,209
"writing workshop",29,209
"college readiness",30,240
"econometric analysis",30,240
"education development plan",30,240
"entrepreneurial skills",30,240
"girls' education",30,240
"health educator",30,240
"hearing loss",30,240
"high school reform",30,240
"musical education",30,240
"national identity",30,240
"social disadvantage",30,240
"social influence",30,240
"universitas terbuka",30,240
"writing abilities",30,240
"educational disparities",30,240
"elementary english",30,240
"financing basic",30,240
"financing basic education",30,240
"intergenerational social",30,240
"intergenerational social mobility",30,240
"methodological proposal",30,240
"network education",30,240
"postpartum women",30,240
"reading problems",30,240
"short films",30,240
"socioeconomic inequality",30,240
"teachersâ€™ skills",30,240
"teaching teachers",30,240
"craft education",31,268
"exclusive breastfeeding",31,268
"gender discrimination",31,268
"internal medicine",31,268
"medical information",31,268
"mental maps",31,268
"political aspects",31,268
"positive behavior support",31,268
"practice guideline",31,268
"refugee education",31,268
"sexual dysfunction",31,268
"social values",31,268
"spatial ability",31,268
"traditional healer",31,268
"traditional healers",31,268
"vocabulary acquisition",31,268
"water quality",31,268
"adolescent girls",31,268
"behavior support",31,268
"brazilian capitals",31,268
"competence scale",31,268
"curriculum making",31,268
"dairy production",31,268
"delivery models",31,268
"exclusive breastfeeding practice",31,268
"primary classrooms",31,268
"service utilization",31,268
"turkish elementary education",31,268
"universal health",31,268
"cognitive psychology",32,297
"computer education",32,297
"continuous formation",32,297
"cultural competency",32,297
"cultural heritage",32,297
"drug abuse",32,297
"educationally disadvantaged",32,297
"expenditure inequality",32,297
"filipino teachers",32,297
"foreign direct investment",32,297
"industrial worker",32,297
"language integrated learning",32,297
"need assessment",32,297
"occupational safety",32,297
"open source software",32,297
"personality disorder",32,297
"steam education",32,297
"test development",32,297
"text-learning strategies",32,297
"writing quality",32,297
"american history",32,297
"anambra state",32,297
"concepts presented",32,297
"contemporary china",32,297
"developing digital",32,297
"emotional regulation",32,297
"full-time schools",32,297
"global development",32,297
"industrial workers",32,297
"low-cost private",32,297
"low-cost private schools",32,297
"official development",32,297
"official development assistance",32,297
"self-care theory",32,297
"south-west nigeria",32,297
"student perspective",32,297
"taiwanese children",32,297
"teacher well-being",32,297
"alternative education",33,335
"authoring tools",33,335
"conversation analysis",33,335
"educational measurement",33,335
"educational video",33,335
"environmental literacy",33,335
"escherichia coli",33,335
"family factors",33,335
"historical literacy",33,335
"psychotic disorders",33,335
"reading fluency",33,335
"reference values",33,335
"school health promotion",33,335
"sexually transmitted disease",33,335
"sexually transmitted diseases",33,335
"solomon islands",33,335
"teaching of writing",33,335
"univariate analysis",33,335
"virtual worlds",33,335
"biological evolution",33,335
"eastern poland",33,335
"education history",33,335
"english language textbooks",33,335
"grounded theory study",33,335
"initial elementary",33,335
"primary school enrolment",33,335
"social emotional",33,335
"solar radiation",33,335
"theory study",33,335
"black movement",34,364
"blood transfusion",34,364
"childhood cancer",34,364
"creative learning",34,364
"extended reality",34,364
"interactive groups",34,364
"international aid",34,364
"international cooperation",34,364
"logistic models",34,364
"periodontal disease",34,364
"school librarians",34,364
"sexual orientation",34,364
"socio-economic determinants",34,364
"statistical manual of mental disorders",34,364
"student evaluation",34,364
"teacher behavior",34,364
"text processing",34,364
"transversal competence",34,364
"basic education departments",34,364
"brazilian curricular",34,364
"delta state",34,364
"elementary education textbooks",34,364
"ensino mã‰dio",34,364
"inclusive pedagogy",34,364
"municipal sphere",34,364
"nationwide cohort study",34,364
"randomized experiment",34,364
"refugee children",34,364
"studentsâ€™ writing skills",34,364
"teacher education policies",34,364
"chlamydia trachomatis",35,394
"cultural characteristics",35,394
"discursive shift",35,394
"educaã§ã£o fã­sica",35,394
"environmental protection",35,394
"food education",35,394
"foreign body",35,394
"multilingual learners",35,394
"pilot projects",35,394
"professional recognition",35,394
"public participation",35,394
"risk perception",35,394
"writing development",35,394
"american schools",35,394
"chilean basic",35,394
"chilean basic education",35,394
"chinese character",35,394
"early mathematics",35,394
"english speaking",35,394
"forty years",35,394
"health volunteers",35,394
"international comparative analysis",35,394
"non-farm employment",35,394
"small island",35,394
"socio-demographic determinants",35,394
"village health",35,394
"village health volunteers",35,394
"white teachers",35,394
"adolescent pregnancy",36,422
"affective learning",36,422
"age distribution",36,422
"computer science education",36,422
"content standards",36,422
"course evaluation",36,422
"eating disorder",36,422
"eating disorders",36,422
"education for sustainability",36,422
"environmental knowledge",36,422
"fast food",36,422
"fragile states",36,422
"general equilibrium",36,422
"measuring instruments",36,422
"occupational diseases",36,422
"psychological tests",36,422
"public health service",36,422
"quality of health care",36,422
"questionnaire surveys",36,422
"social control",36,422
"socio-economic rights",36,422
"student attitudes",36,422
"work disability",36,422
"assessment measure",36,422
"curricular framework",36,422
"environmental perception",36,422
"grade social",36,422
"grade social studies",36,422
"indigenous culture",36,422
"instructional coaching",36,422
"online english",36,422
"private education system",36,422
"sterbotten county",36,422
"teaching assessment",36,422
"teaching mathematical",36,422
"assessment environment",37,457
"cerebral palsy",37,457
"in-service teacher education",37,457
"interdisciplinary curriculum",37,457
"learning management system",37,457
"length of stay",37,457
"maternity ward",37,457
"multidisciplinary team",37,457
"personal computers",37,457
"private spending",37,457
"pro-environmental behavior",37,457
"psychological development",37,457
"reading intervention",37,457
"school engagement",37,457
"sports science",37,457
"standardized test scores",37,457
"state of knowledge",37,457
"statistical model",37,457
"supported learning",37,457
"teaching innovation",37,457
"theoretical study",37,457
"advanced cancer patients",37,457
"adverse health",37,457
"brazilian physical",37,457
"brazilian physical education",37,457
"classroom assessment environment",37,457
"english writing",37,457
"instructional management",37,457
"intercultural pedagogical",37,457
"lisbon metropolitan",37,457
"managing basic",37,457
"managing basic education",37,457
"multidimensional concept",37,457
"national cohort",37,457
"prospective cross-sectional study",37,457
"social subjects",37,457
"socioeconomic profile",37,457
"studentsâ€™ digital competence",37,457
"thinking dispositions",37,457
"african americans",38,496
"competency-based curriculum",38,496
"competency development",38,496
"dietary intake",38,496
"digestive system",38,496
"disaster preparedness",38,496
"disease control",38,496
"down syndrome",38,496
"economic recession",38,496
"entamoeba coli",38,496
"estimation method",38,496
"holistic education",38,496
"serious games",38,496
"social competence",38,496
"socio-emotional skills",38,496
"university teaching",38,496
"well being",38,496
"â€œbasic education",38,496
"adult illiteracy",38,496
"african perspective",38,496
"basic health units",38,496
"cancer awareness",38,496
"complementary basic education programme",38,496
"education assistance",38,496
"health units",38,496
"implementing curriculum",38,496
"indigenous community",38,496
"initial teaching",38,496
"interactive mathematics",38,496
"metacognitive activities",38,496
"middle basic",38,496
"political dimensions",38,496
"portuguese elementary education",38,496
"questionnaire-based survey",38,496
"skills learning",38,496
"south african perspective",38,496
"supervised practice",38,496
"teacher perspectives",38,496
"advanced cancer",39,534
"built environment",39,534
"curriculum studies",39,534
"cyber bullying",39,534
"divergent thinking",39,534
"gender norms",39,534
"ischemic heart disease",39,534
"learning progression",39,534
"media competence",39,534
"new period",39,534
"open distance learning",39,534
"physical disability",39,534
"proportional reasoning",39,534
"unified health system",39,534
"allama iqbal",39,534
"business education",39,534
"education initial",39,534
"ischemic heart",39,534
"mathematical literacy",39,534
"mobile augmented",39,534
"mobile augmented reality",39,534
"omani basic education schools",39,534
"online courses",39,534
"phonemic awareness",39,534
"adverse outcome",40,558
"capability approach",40,558
"catholic church",40,558
"conceptions of learning",40,558
"convolutional neural network",40,558
"cronbach alpha coefficient",40,558
"digital inclusion",40,558
"emergency remote education",40,558
"entrepreneurial intentions",40,558
"geographical distribution",40,558
"high-stakes assessment",40,558
"library services",40,558
"new literacies",40,558
"peer feedback",40,558
"sensory processing",40,558
"teacher education reform",40,558
"technical training",40,558
"technological advancement",40,558
"trait emotional intelligence",40,558
"changing world",40,558
"circuit managers",40,558
"convolutional neural",40,558
"diagnostic evaluation",40,558
"dietary diversity",40,558
"educational trajectories",40,558
"history textbooks",40,558
"linguistic analysis",40,558
"parental perceptions",40,558
"pre-tertiary education",40,558
"preservice elementary science",40,558
"private basic",40,558
"private basic education",40,558
"theoretical review",40,558
"trait emotional",40,558
"youth education",40,558
"anxiety disorders",41,593
"back pain",41,593
"basic needs",41,593
"blood glucose",41,593
"body height",41,593
"character education",41,593
"child marriage",41,593
"dairy product",41,593
"dental visits",41,593
"financing education",41,593
"food safety education",41,593
"graphic design",41,593
"internet information",41,593
"learning problems",41,593
"null hypothesis",41,593
"orthographic knowledge",41,593
"parentsâ€™ perspectives",41,593
"perceived stress scale",41,593
"program development",41,593
"returns to education",41,593
"road traffic accidents",41,593
"service quality",41,593
"urinary incontinence",41,593
"andhra pradesh",41,593
"education reduce",41,593
"expanding access",41,593
"narrative writing",41,593
"national confederation",41,593
"primary teacher education",41,593
"promote elementary",41,593
"rural cambodia",41,593
"southern ethiopia",41,593
"21st-century skills",42,625
"at-risk students",42,625
"biology education",42,625
"central africa",42,625
"circular economy",42,625
"clinical outcome",42,625
"computer literacy",42,625
"course development",42,625
"edinburgh postnatal depression scale",42,625
"educational efficiency",42,625
"environmental health",42,625
"epistemic beliefs",42,625
"evaluation study",42,625
"family size",42,625
"first aid",42,625
"foundational skills",42,625
"hearing impairment",42,625
"hierarchical education",42,625
"historical perspective",42,625
"housing prices",42,625
"ict competency",42,625
"income distribution",42,625
"innovative methodologies",42,625
"mathematical analysis",42,625
"mathematical education",42,625
"physical examination",42,625
"propensity score matching",42,625
"register study",42,625
"sleep quality",42,625
"structural equation models",42,625
"validation process",42,625
"adult residents",42,625
"central african",42,625
"elementary mathematics teachers",42,625
"empirical analysis based",42,625
"library system",42,625
"literacy achievement",42,625
"management training",42,625
"mother tongue education",42,625
"supplementary tutoring",42,625
"addie model",43,665
"authentic contexts",43,665
"child death",43,665
"community engagement",43,665
"data base",43,665
"educational personnel",43,665
"glycemic control",43,665
"human opportunity index",43,665
"human resource management",43,665
"interactive learning environment",43,665
"interactive learning environments",43,665
"internal migration",43,665
"migrant worker",43,665
"occupational stress",43,665
"outcomes research",43,665
"patient satisfaction",43,665
"policy recommendations",43,665
"predictive validity",43,665
"teacher stress",43,665
"technology skills",43,665
"test anxiety",43,665
"text production",43,665
"underperforming school",43,665
"adult readers",43,665
"brazilian municipality",43,665
"classroom literacy",43,665
"college entrance",43,665
"digital game-based learning environment",43,665
"diverse classrooms",43,665
"elementary physical education",43,665
"improving literacy",43,665
"narrative approach",43,665
"national school feeding",43,665
"small children",43,665
"syrian refugees",43,665
"trabalho docente",43,665
"age structure",44,701
"child care",44,701
"digital educational resources",44,701
"disaster risk reduction",44,701
"early marriage",44,701
"educational robots",44,701
"health impact",44,701
"key competencies",44,701
"occupational health",44,701
"program evaluation",44,701
"screen time",44,701
"sick leave",44,701
"workforce development",44,701
"academic self-efficacy",44,701
"african university",44,701
"aggressive behavior",44,701
"basic education mathematics teachers",44,701
"comprehensive reform",44,701
"computer usage",44,701
"development indicators",44,701
"educational assessments",44,701
"elementary school childrenâ€™s",44,701
"historical knowledge",44,701
"learning trajectory",44,701
"medium-sized cities",44,701
"northern portugal",44,701
"policy networks",44,701
"south african university",44,701
"struggling adult",44,701
"studies textbooks",44,701
"teachers create",44,701
"benefit incidence",45,732
"cancer prevention",45,732
"cancer registry",45,732
"collective learning",45,732
"foreign aid",45,732
"functional status",45,732
"geography teaching",45,732
"interdisciplinary learning",45,732
"job performance",45,732
"mathematical models",45,732
"mobile applications",45,732
"project management",45,732
"rural-urban migration",45,732
"urban teachers",45,732
"activity system",45,732
"adults education",45,732
"basic education based",45,732
"basic education standards",45,732
"breastfeeding practice",45,732
"computer supported",45,732
"disease patients",45,732
"education movement",45,732
"elementary-aged children",45,732
"impact assessment",45,732
"intervention strategy",45,732
"knowledge retention",45,732
"language assessment",45,732
"pregnancy outcomes",45,732
"teaching basic",45,732
"textual typologies",45,732
"basic education certificate examination",46,762
"cancer risk",46,762
"caregiver burden",46,762
"cognitive flexibility",46,762
"diabetes education",46,762
"eastern european",46,762
"embodied learning",46,762
"financing of education",46,762
"finnish students",46,762
"home learning environment",46,762
"job market",46,762
"kha ri gude",46,762
"lung cancer",46,762
"medical school",46,762
"psychological aspect",46,762
"rational numbers",46,762
"school adjustment",46,762
"virtual world",46,762
"caries prevalence",46,762
"chilean children",46,762
"elementary teachersâ€™ beliefs",46,762
"evaluation policy",46,762
"geographical education",46,762
"interaction patterns",46,762
"latent class",46,762
"nationwide cohort",46,762
"neighbourhood school",46,762
"omani basic",46,762
"omani basic education",46,762
"personality traits",46,762
"prospective cross-sectional",46,762
"science inquiry",46,762
"studentsâ€™ digital",46,762
"teacher salaries",46,762
"technology usage",46,762
"chinese basic education",47,797
"conditional cash transfers",47,797
"cooperative work",47,797
"data science",47,797
"discriminant validity",47,797
"discursive practices",47,797
"entrepreneurial learning",47,797
"epistemological beliefs",47,797
"food frequency questionnaire",47,797
"geography education",47,797
"historical learning",47,797
"nursing home",47,797
"nursing homes",47,797
"school buildings",47,797
"social adjustment",47,797
"summative evaluation",47,797
"western europe",47,797
"black women",47,797
"children engage",47,797
"childrenâ€™s computational",47,797
"childrenâ€™s computational thinking",47,797
"disadvantaged secondary",47,797
"ekiti state",47,797
"learning spaces",47,797
"legislative framework",47,797
"mental rotation",47,797
"mexican state",47,797
"online communication",47,797
"performance improvement",47,797
"phase mathematics",47,797
"special education classes",47,797
"students benefit",47,797
"systematic analysis",47,797
"abdominal obesity",48,830
"child mortality",48,830
"computer self-efficacy",48,830
"democratization of education",48,830
"developmental disabilities",48,830
"family characteristics",48,830
"learner pregnancy",48,830
"learning objects",48,830
"linear correlation",48,830
"local wisdom",48,830
"measurement invariance",48,830
"physics education",48,830
"postpartum period",48,830
"sex education",48,830
"teaching conditions",48,830
"tobacco consumption",48,830
"value-added model",48,830
"values education",48,830
"work satisfaction",48,830
"working time",48,830
"adult basic education learners",48,830
"childrenâ€™s development",48,830
"classroom approach",48,830
"education versus",48,830
"educational results",48,830
"history curriculum",48,830
"music classroom",48,830
"obesity prevalence",48,830
"rural ghana",48,830
"teaching computational",48,830
"vocabulary instruction",48,830
"artificial neural network",49,861
"bilingual education",49,861
"cognitive outcomes",49,861
"covid 19",49,861
"educational tools",49,861
"home care",49,861
"home economics",49,861
"ict competence",49,861
"international organizations",49,861
"life history",49,861
"lower limb",49,861
"mobile phones",49,861
"observational learning",49,861
"quantile regression",49,861
"sierra leone",49,861
"social determinants of health",49,861
"social equity",49,861
"spatial equity",49,861
"textual production",49,861
"universal literacy",49,861
"young population",49,861
"amazon region",49,861
"contextual variables",49,861
"covid-19 school",49,861
"degree students",49,861
"dependent women",49,861
"disabled people",49,861
"english vocabulary learning",49,861
"english vocabulary learning performance",49,861
"inclusive education policies",49,861
"non-formal education programmes",49,861
"patients receiving",49,861
"resources based",49,861
"scientific process",49,861
"southern african countries",49,861
"spanish prisons",49,861
"studentsâ€™ problem-solving",49,861
"universities based",49,861
"vocabulary learning performance",49,861
"cesarean section",50,900
"cigarette smoking",50,900
"family structure",50,900
"fidelity of implementation",50,900
"gross domestic product",50,900
"human dignity",50,900
"motor development",50,900
"non-state provision",50,900
"peer tutoring",50,900
"sexual partners",50,900
"south america",50,900
"teaching systems",50,900
"uttar pradesh",50,900
"working conditions of teachers",50,900
"adolescent mental health services",50,900
"causal model",50,900
"costa rican",50,900
"early field",50,900
"early field experience",50,900
"health coverage",50,900
"inquiry-based science teaching",50,900
"interdisciplinary educational",50,900
"lasting effects",50,900
"learning physics",50,900
"outpatient clinics",50,900
"peruvian basic education teachers",50,900
"pilot program",50,900
"senior phase",50,900
"birth rate",51,928
"drinking water",51,928
"environmental attitudes",51,928
"ethnographic research",51,928
"hiv prevention",51,928
"hospital admission",51,928
"intimate partner violence",51,928
"language planning",51,928
"mobile learning environment",51,928
"national plan for education",51,928
"partner violence",51,928
"prospective primary school teachers",51,928
"public opinion",51,928
"salt intake",51,928
"social education",51,928
"teacher competencies",51,928
"visual memory",51,928
"cluster randomised",51,928
"creative writing",51,928
"education future",51,928
"education mathematics teachers",51,928
"finnish curriculum",51,928
"globalized world",51,928
"indian context",51,928
"mexican secondary",51,928
"mining techniques",51,928
"nationwide cross-sectional",51,928
"prospective primary school",51,928
"school education students",51,928
"science textbooks",51,928
"situational interest",51,928
"socioeconomic determinants",51,928
"teachers evaluated",51,928
"application in education",52,961
"breast feeding",52,961
"digital writing",52,961
"educational equality",52,961
"evaluation methods",52,961
"hepatitis b",52,961
"ict literacy",52,961
"interactive multimedia",52,961
"international communication",52,961
"narrative research",52,961
"participatory approach",52,961
"personal hygiene",52,961
"survival time",52,961
"systemic functional linguistics",52,961
"teacher profile",52,961
"virtual environments",52,961
"disabled learners",52,961
"elementary physical",52,961
"field trips",52,961
"longitudinal associations",52,961
"professional masters",52,961
"promote mental",52,961
"public transport",52,961
"school daily",52,961
"study comparing",52,961
"styles inventory",52,961
"teach elementary",52,961
"young childrenâ€™s",52,961
"community empowerment",53,989
"engineering practices",53,989
"environmental pollution",53,989
"expectancies of success",53,989
"federal institutes",53,989
"formaã§ã£o de professores",53,989
"hospital anxiety",53,989
"ict in education",53,989
"informational text",53,989
"psychiatric diagnosis",53,989
"retrospective study",53,989
"school knowledge",53,989
"school success",53,989
"school trajectories",53,989
"social mobility",53,989
"teacher professionalism",53,989
"urban-rural divide",53,989
"urban population",53,989
"basic psychological",53,989
"brazilian schoolteachers",53,989
"development school",53,989
"elementary studentsâ€™ science",53,989
"historical thinking",53,989
"language curricula",53,989
"lower secondary level",53,989
"mathematical problem-solving",53,989
"middle eastern",53,989
"private elementary",53,989
"private elementary schools",53,989
"professional development school",53,989
"public municipal",53,989
"randomized trial",53,989
"rural india",53,989
"social studies curriculum",53,989
"socio-educational action",53,989
"south district",53,989
"tongue education",53,989
"classroom research",54,1026
"comparative studies",54,1026
"computer-assisted learning",54,1026
"cultural backgrounds",54,1026
"education technology",54,1026
"female education",54,1026
"growth rate",54,1026
"hand washing",54,1026
"job stress",54,1026
"political science",54,1026
"primary prevention",54,1026
"public education policies",54,1026
"school integration",54,1026
"self report",54,1026
"skin cancer",54,1026
"social impact",54,1026
"visual acuity",54,1026
"academic behavior",54,1026
"augmented reality-based",54,1026
"brazilian scenario",54,1026
"education undergraduates",54,1026
"moderated mediation",54,1026
"neoliberal education",54,1026
"outreach program",54,1026
"parental school",54,1026
"school finance",54,1026
"teacher awareness",54,1026
"unplugged activities",54,1026
"attitudes towards science",55,1054
"challenging behavior",55,1054
"critical literacy",55,1054
"didactic sequences",55,1054
"ethnic minority",55,1054
"generalized anxiety disorder",55,1054
"instructional technology",55,1054
"law no",55,1054
"northern nigeria",55,1054
"prison education",55,1054
"school fees",55,1054
"school funding",55,1054
"small rural school",55,1054
"teacher responsibility",55,1054
"adult educators",55,1054
"astronomical concepts",55,1054
"design-based learning",55,1054
"educaã‡ãƒo bãsica",55,1054
"elementary education policy",55,1054
"higher education access",55,1054
"leadership competencies",55,1054
"nationwide register-based",55,1054
"peruvian teachers",55,1054
"preservice teachersâ€™ perceptions",55,1054
"secondary school teachersâ€™",55,1054
"socioeconomic predictors",55,1054
"special reference",55,1054
"advanced training",56,1081
"assistive technology",56,1081
"beck depression inventory",56,1081
"bloom's taxonomy",56,1081
"depressive disorder",56,1081
"educational expectations",56,1081
"health care system",56,1081
"health surveys",56,1081
"history education",56,1081
"indigenous population",56,1081
"mini international neuropsychiatric interview",56,1081
"moral values",56,1081
"occupational disease",56,1081
"population density",56,1081
"problem behavior",56,1081
"register-based study",56,1081
"school-based management",56,1081
"search engines",56,1081
"secondary data analysis",56,1081
"basic human",56,1081
"current mental",56,1081
"face-to-face teaching",56,1081
"full-time education",56,1081
"future mathematics teachers",56,1081
"model framework",56,1081
"nationwide study",56,1081
"ninth graders",56,1081
"population-based cohort study",56,1081
"primary studentsâ€™",56,1081
"reading comprehension strategies",56,1081
"reading levels",56,1081
"small business",56,1081
"social stratification",56,1081
"teaching education",56,1081
"written communication",56,1081
"academic language",57,1116
"algebraic thinking",57,1116
"burkina faso",57,1116
"educational innovations",57,1116
"face validity",57,1116
"finnish education system",57,1116
"linguistic diversity",57,1116
"national system of education",57,1116
"scientific education",57,1116
"sexual intercourse",57,1116
"socioeconomic impact",57,1116
"strategic approach",57,1116
"strategy instruction",57,1116
"student attitude",57,1116
"support vector machines",57,1116
"survival rate",57,1116
"task performance",57,1116
"visual literacy",57,1116
"african rural",57,1116
"collaborative knowledge",57,1116
"greek elementary",57,1116
"knowledge levels",57,1116
"literacy teachers",57,1116
"online forum",57,1116
"portuguese elementary",57,1116
"proposed methodology",57,1116
"randomized clinical",57,1116
"randomized clinical trial",57,1116
"south african rural",57,1116
"teaching chemistry",57,1116
"digital storytelling",58,1146
"education finance",58,1146
"educational improvement",58,1146
"grade retention",58,1146
"historical-cultural psychology",58,1146
"political economy",58,1146
"postgraduate studies",58,1146
"professional ethics",58,1146
"professional standard",58,1146
"psychosocial care",58,1146
"sexual function",58,1146
"standardized testing",58,1146
"support services",58,1146
"teacher effectiveness",58,1146
"technology transfer",58,1146
"brazilian portuguese",58,1146
"classroom instructional",58,1146
"comparative perspective",58,1146
"development assistance",58,1146
"education colleges",58,1146
"health effects",58,1146
"impaired students",58,1146
"integrated school health",58,1146
"integrated school health policy",58,1146
"integration education",58,1146
"janeiro state",58,1146
"making sense",58,1146
"member states",58,1146
"millennial preservice",58,1146
"millennial preservice teachers",58,1146
"physical disabilities",58,1146
"prospective primary",58,1146
"psychometric evaluation",58,1146
"technology integration education",58,1146
"assessment instruments",59,1180
"assessment tasks",59,1180
"basque country",59,1180
"culturally responsive teaching",59,1180
"developmental disorder",59,1180
"educational organization",59,1180
"first-year teachers",59,1180
"hemoglobin a",59,1180
"management systems",59,1180
"nursing staff",59,1180
"reading motivation",59,1180
"social conditions",59,1180
"task-based learning",59,1180
"telephone interview",59,1180
"assessment systems",59,1180
"chilean students",59,1180
"coping mechanisms",59,1180
"critical language",59,1180
"developmental disorders",59,1180
"early adolescents",59,1180
"elementary school-aged",59,1180
"emotional experiences",59,1180
"literacy interventions",59,1180
"nacional comum",59,1180
"school music",59,1180
"sustainable change",59,1180
"active citizenship",60,1206
"african languages",60,1206
"educational expansion",60,1206
"elementary teaching",60,1206
"food intake",60,1206
"grade repetition",60,1206
"health practitioner",60,1206
"new south wales",60,1206
"nuclear family",60,1206
"pregnancy outcome",60,1206
"sexual health",60,1206
"social segregation",60,1206
"academic motivation",60,1206
"basic educational resources",60,1206
"concept mapping",60,1206
"curriculum planning",60,1206
"education school students",60,1206
"improving reading",60,1206
"inclusive perspective",60,1206
"information literacy instruction",60,1206
